radius_meters,radius_in_Schwarzschild_radii,earth_years_per_1s_near_blackhole
86603.33216835502,2.9316053511705684,1.231951336248133
86997.54504309318,2.9449498327759196,1.230508869924453
87391.75791783135,2.9582943143812708,1.2290844040684183
87785.97079256951,2.971638795986622,1.2276776010151025
88180.18366730768,2.984983277591973,1.2262881315542749
88574.39654204584,2.9983277591973243,1.2249156746657464
88968.609416784,3.011672240802676,1.2235599172646499
89362.82229152216,3.0250167224080267,1.2222205539562192
89757.03516626032,3.038361204013378,1.2208972867996561
90151.24804099849,3.051705685618729,1.219589825080693
90545.46091573665,3.06505016722408,1.2182978850924742
90939.67379047482,3.0783946488294314,1.2170211899244097
91333.88666521298,3.0917391304347825,1.2157594692586526
91728.09953995114,3.105083612040134,1.2145124591738894
92122.3124146893,3.118428093645485,1.2132799019561304
92516.52528942746,3.131772575250836,1.2120615459162123
92910.73816416562,3.1451170568561873,1.2108571452137349
93304.95103890379,3.1584615384615384,1.2096664596871687
93699.16391364195,3.1718060200668896,1.2084892546898771
94093.37678838012,3.185150501672241,1.2073253009318206
94487.58966311828,3.198494983277592,1.2061743743267066
94881.80253785643,3.2118394648829427,1.2050362558443692
95276.0154125946,3.2251839464882943,1.2039107313681743
95670.22828733276,3.2385284280936455,1.2027975915572418
96064.44116207093,3.2518729096989967,1.2016966317133049
96458.6540368091,3.265217391304348,1.2006076516520183
96852.86691154724,3.2785618729096986,1.1995304555785444
97247.07978628541,3.2919063545150498,1.198464851967252
97641.29266102357,3.305250836120401,1.1974106534453675
98035.50553576174,3.318595317725752,1.1963676766804299
98429.7184104999,3.3319397993311037,1.1953357422714022
98823.93128523807,3.345284280936455,1.194314674643302
99218.14415997623,3.358628762541806,1.1933043019452185
99612.35703471438,3.371973244147157,1.19230445595159
100006.56990945255,3.385317725752508,1.1913149719666174
100400.78278419071,3.398662207357859,1.1903356887317027
100794.99565892888,3.4120066889632104,1.189366448335796
101189.20853366704,3.425351170568562,1.188407096128547
101583.42140840521,3.438695652173913,1.1874574806361589
101977.63428314337,3.4520401337792643,1.1865174534798457
102371.84715788152,3.465384615384615,1.1855868692967992
102766.06003261969,3.4787290969899662,1.184665585663578
103160.27290735785,3.4920735785953174,1.1837534630218252
103554.48578209602,3.5054180602006686,1.1828503646062438
103948.69865683418,3.5187625418060198,1.1819561563747383
104342.91153157235,3.5321070234113714,1.1810707069406514
104737.12440631051,3.5454515050167226,1.1801938875070268
105131.33728104866,3.5587959866220733,1.179325571802819
105525.55015578683,3.5721404682274245,1.1784656360209889
105919.76303052499,3.5854849498327757,1.1776139587584191
106313.97590526316,3.598829431438127,1.1767704209575853
106708.18878000132,3.612173913043478,1.1759349058499249
107102.40165473949,3.625518394648829,1.1751072989008455
107496.61452947765,3.638862876254181,1.1742874877563168
107890.8274042158,3.6522073578595315,1.1734753621909944
108285.04027895397,3.6655518394648827,1.1726708140578226
108679.25315369213,3.678896321070234,1.1718737372390686
109073.4660284303,3.692240802675585,1.1710840275987402
109467.67890316846,3.7055852842809363,1.1703015829363392
109861.89177790663,3.7189297658862874,1.1695263029419123
110256.10465264479,3.732274247491639,1.168758089152351
110650.31752738294,3.74561872909699,1.1679968449089038
111044.5304021211,3.758963210702341,1.1672424753158592
111438.74327685927,3.772307692307692,1.1664948872003662
111832.95615159743,3.7856521739130433,1.1657539890733484
112227.1690263356,3.7989966555183945,1.1650196910914852
112621.38190107376,3.8123411371237457,1.1642919050202198
113015.59477581193,3.825685618729097,1.163570544197766
113409.80765055008,3.8390301003344476,1.162855523500078
113804.02052528824,3.852374581939799,1.1621467593067591
114198.23340002641,3.8657190635451504,1.161444169467874
114592.44627476457,3.8790635451505016,1.1607476732716415
114986.65914950274,3.8924080267558527,1.1600571914129745
115380.8720242409,3.905752508361204,1.1593726459628506
115775.08489897905,3.9190969899665546,1.1586939603384778
116169.29777371722,3.932441471571906,1.1580210592742377
116563.51064845538,3.9457859531772574,1.1573538687933818
116957.72352319355,3.9591304347826086,1.1566923161804534
117351.93639793171,3.97247491638796,1.1560363299544216
117746.14927266988,3.985819397993311,1.1553858398424974
118140.36214740804,3.999163879598662,1.154740776754619
118534.5750221462,4.012508361204013,1.1541010727585799
118928.78789688436,4.025852842809364,1.153466661055788
119323.00077162252,4.039197324414715,1.152837475957629
119717.21364636069,4.052541806020066,1.1522134528624242
120111.42652109885,4.065886287625418,1.1515945282329594
120505.63939583702,4.079230769230769,1.1509806395745732
120899.85227057518,4.09257525083612,1.1503717254137826
121294.06514531333,4.105919732441471,1.1497677252774385
121688.2780200515,4.119264214046822,1.149168579672387
122082.49089478966,4.1326086956521735,1.1485742300656294
122476.70376952783,4.145953177257525,1.1479846188649636
122870.91664426599,4.159297658862876,1.147399689400091
123265.12951900416,4.172642140468227,1.1468193859041818
123659.34239374232,4.185986622073578,1.1462436534958789
124053.55526848047,4.199331103678929,1.145672438161735
124447.76814321864,4.2126755852842805,1.1451056867390637
124841.9810179568,4.226020066889632,1.1445433468992006
125236.19389269497,4.239364548494983,1.1439853671311564
125630.40676743313,4.252709030100334,1.143431696725655
126024.6196421713,4.266053511705685,1.142882285759546
126418.83251690946,4.279397993311036,1.1423370850805794
126813.04539164761,4.292742474916388,1.1417960462925345
127207.25826638578,4.306086956521739,1.1412591217406933
127601.47114112394,4.31943143812709,1.1407262644976468
127995.6840158621,4.332775919732441,1.140197428349429
128389.89689060027,4.346120401337792,1.1396725677819661
128784.10976533843,4.3594648829431435,1.1391516379678361
129178.3226400766,4.372809364548495,1.1386345947533274
129572.53551481475,4.386153846153846,1.1381213946457895
129966.74838955291,4.399498327759197,1.1376119948012706
130360.96126429108,4.412842809364548,1.1371063530124297
130755.17413902924,4.426187290969899,1.1366044276967204
131149.3870137674,4.439531772575251,1.1361061778848374
131543.5998885056,4.452876254180603,1.1356115632094184
131937.81276324374,4.466220735785953,1.1351205438939975
132332.0256379819,4.479565217391304,1.1346330807421983
132726.23851272007,4.492909698996655,1.1341491351271682
133120.45138745822,4.506254180602006,1.133668668981239
133514.6642621964,4.5195986622073585,1.1331916447858164
133908.87713693455,4.532943143812709,1.1327180255614862
134303.09001167273,4.546287625418061,1.1322477748583357
134697.30288641088,4.559632107023411,1.1317808567464818
135091.51576114903,4.572976588628762,1.1313172358068042
135485.7286358872,4.5863210702341135,1.1308568771218743
135879.94151062536,4.599665551839465,1.1303997462670807
136274.15438536354,4.613010033444817,1.1299458093019377
136668.3672601017,4.626354515050167,1.1294950327615836
137062.58013483987,4.639698996655519,1.1290473836484534
137456.79300957802,4.653043478260869,1.1286028294241277
137851.00588431617,4.666387959866221,1.128161338001353
138245.21875905435,4.679732441471572,1.127722877736228
138639.4316337925,4.693076923076923,1.1272874174205498
139033.64450853068,4.706421404682274,1.1268549262743222
139427.85738326883,4.719765886287625,1.1264253739384165
139822.070258007,4.733110367892977,1.1259987304673817
140216.28313274516,4.746454849498328,1.1255749663224053
